RISP,AISP,CISP,Unidade Territorial,Município,Zona
1,2,9,"Catete, Cosme Velho, Flamengo, Glória e Laranjeiras",Rio de Janeiro,Zona Sul
1,2,10,"Botafogo, Humaitá e Urca",Rio de Janeiro,Zona Sul
1,3,23,"Cachambi, Méier (parte) e Todos os Santos (parte)",Rio de Janeiro,Zona Norte
1,3,24,"Abolição, Água Santa (parte), Encantado, Engenho de Dentro (parte), Pilares e Piedade",Rio de Janeiro,Zona Norte
1,3,25,"Engenho Novo, Jacaré, Jacarezinho, Riachuelo, Rocha, Sampaio e São Francisco Xavier",Rio de Janeiro,Zona Norte
1,3,26,"Água Santa (parte), Engenho de Dentro (parte), Lins de Vasconcelos e Todos os Santos",Rio de Janeiro,Zona Norte
1,3,44,"Del Castilho, Engenho da Rainha, Inhaúma, Maria da Graça e Tomás Coelho",Rio de Janeiro,Zona Norte
1,4,6,"Catumbi, Cidade Nova, Estácio, Rio Comprido e Centro (parte)",Rio de Janeiro,Zona Central
1,4,17,"Caju, Mangueira, São Cristóvão e Vasco da Gama",Rio de Janeiro,Zona Central
1,5,1,"Centro (parte)",Rio de Janeiro,Zona Central
1,5,4,"Centro (parte), Gamboa, Santo Cristo e Saúde",Rio de Janeiro,Zona Central
1,5,5,"Centro (parte), Lapa e Paquetá",Rio de Janeiro,Zona Central
1,5,7,"Santa Teresa",Rio de Janeiro,Zona Central
1,6,18,"Maracanã, Praça da Bandeira e Tijuca (parte)",Rio de Janeiro,Zona Norte
1,6,19,"Alto da Boa Vista e Tijuca (parte)",Rio de Janeiro,Zona Norte
1,6,20,"Andaraí, Grajaú e Vila Isabel",Rio de Janeiro,Zona Norte
1,16,22,"Brás de Pina (parte), Olaria, Penha e Penha Circular (parte)",Rio de Janeiro,Zona Norte
1,16,38,"Brás de Pina (parte), Cordovil, Jardim América, Parada de Lucas,Penha Circular (parte) e Vigário Geral",Rio de Janeiro,Zona Norte
1,17,37,"Bancários, Cacuia, Cidade Universitária, Cocotá, Freguesia, Galeão, Jardim Carioca, Jardim Guanabara, Moneró, Pitangueiras, Portuguesa, Praia da Bandeira, Ribeira, Tauá e Zumbi",Rio de Janeiro,Zona Norte
1,19,12,"Copacabana (parte) e Leme",Rio de Janeiro,Zona Sul
1,19,13,"Copacabana (parte)",Rio de Janeiro,Zona Sul
1,22,21,"Benfica, Bonsucesso, Higienópolis, Manguinhos, Maré e Ramos",Rio de Janeiro,Zona Norte
1,23,11,"Rocinha",Rio de Janeiro,Zona Sul
1,23,14,"Ipanema e Leblon",Rio de Janeiro,Zona Sul
1,23,15,"Gávea, Jardim Botânico, Lagoa, São Conrado e Vidigal",Rio de Janeiro,Zona Sul
2,9,29,"Cavalcanti, Engenheiro Leal, Madureira, Turiaçu, Vaz Lobo, Oswaldo Cruz (parte), Cascadura e Quintino Bocaiúva",Rio de Janeiro,Zona Norte
2,9,30,"Bento Ribeiro, Campinho, Marechal Hermes e Oswaldo Cruz (parte)",Rio de Janeiro,Zona Norte
2,9,40,"Coelho Neto, Colégio (parte), Honório Gurgel e Rocha Miranda",Rio de Janeiro,Zona Norte
2,14,33,"Campo dos Afonsos, Deodoro, Jardim Sulacap, Magalhães Bastos, Realengo e Vila Militar",Rio de Janeiro,Zona Oeste
2,14,34,"Bangu, Gericinó, Padre Miguel e Senador Camará",Rio de Janeiro,Zona Oeste
2,18,28,"Vila Valqueire, Praça Seca e Tanque (parte)",Rio de Janeiro,Zona Sudoeste
2,18,32,"Anil, Cidade de Deus, Curicica, Gardênia Azul, Jacarepaguá e Taquara",Rio de Janeiro,Zona Sudoeste
2,18,41,"Freguesia (Jacarepaguá), Pechincha e Tanque (parte)",Rio de Janeiro,Zona Sudoeste
2,27,36,"Paciência e Santa Cruz",Rio de Janeiro,Zona Oeste
2,27,43,"Guaratiba, Pedra de Guaratiba e Sepetiba",Rio de Janeiro,Zona Oeste
2,31,16,"Barra da Tijuca, Itanhangá, Joá",Rio de Janeiro,Zona Sudoeste
2,31,42,"Recreio dos Bandeirantes, Barra de Guaratiba, Camorim, Grumari, Vargem Grande e Vargem Pequena",Rio de Janeiro,Zona Sudoeste
2,40,35,"Campo Grande, Cosmos, Inhoaíba, Santíssimo e Senador Vasconcelos",Rio de Janeiro,Zona Oeste
2,41,27,"Colégio (parte), Irajá, Vicente de Carvalho, Vila Kosmos, Vila da Penha e Vista Alegre",Rio de Janeiro,Zona Norte
2,41,31,"Anchieta, Guadalupe, Parque Anchieta e Ricardo de Albuquerque",Rio de Janeiro,Zona Norte
2,41,39,"Acari, Barros Filho, Costa Barros, Parque Colúmbia e Pavuna",Rio de Janeiro,Zona Norte
